# Gyne-DEG Atlas Machine Learning Gene Panel (RandomForest)
# CV Type: LeaveOneDatasetOut
# Mean AUROC: 0.6205
# Fold Details: GSE102293=0.8750, GSE106724=0.5000, GSE114419=0.5000, GSE137684=0.3125, GSE199225=0.5750, GSE207000=0.9444, GSE262302=0.5000, GSE286315=0.4444, GSE316028=1.0000, GSE34526=0.1667, GSE40007=0.5000, GSE44207=0.5000, GSE47360=0.6944, GSE51981=0.6889, GSE56854=0.5000, GSE6364=0.3824, GSE6798=0.8462, GSE75425=0.8750, GSE8157=0.9846
# Total samples: 397 (Cases: 206, Controls: 191)
# Total features: 1247
gene	coefficient	mean_abs_shap
TTK	0.0016060552727059074	0.0016060552727059074
EDIL3	0.001592599891021442	0.001592599891021442
HIRIP3	0.0015923322927762515	0.0015923322927762515
CCDC152	0.001592224773252599	0.001592224773252599
PKD1L2	0.0015916871601097664	0.0015916871601097664
CDC25B	0.0015875607390715377	0.0015875607390715377
NR3C2	0.0015862079107432526	0.0015862079107432526
NCAPG2	0.00158570691292739	0.00158570691292739
IGFN1	0.0015830857463378335	0.0015830857463378335
ZC3H10	0.0015776932567099391	0.0015776932567099391
INHBA	0.0015736607632381926	0.0015736607632381926
TFPI	0.0015693726000103048	0.0015693726000103048
FOXN2	0.0015664680890582813	0.0015664680890582813
MYL3	0.0015644896623752899	0.0015644896623752899
TUFT1	0.0015601540011199592	0.0015601540011199592
ASB2	0.001553676046274351	0.001553676046274351
CCDC15	0.0015512219087914344	0.0015512219087914344
MT2A	0.0015479112843220957	0.0015479112843220957
RGS4	0.0015475182074260383	0.0015475182074260383
TPD52L1	0.001543150065708427	0.001543150065708427
E2F1	0.0015428900894136578	0.0015428900894136578
GPRIN3	0.0015401683171701484	0.0015401683171701484
HOXA1	0.001536794435264916	0.001536794435264916
CSRP1	0.0015281250010011392	0.0015281250010011392
ZNF138	0.0015277683243781323	0.0015277683243781323
TYMS	0.0015144587696295179	0.0015144587696295179
SMC2	0.0015103668973802358	0.0015103668973802358
GVINP1	0.0015062190441146198	0.0015062190441146198
OIP5	0.001505770109435931	0.001505770109435931
CEP19	0.001503560676216082	0.001503560676216082
DEPDC1B	0.0015023499370600208	0.0015023499370600208
ZNF678	0.0014998214167228538	0.0014998214167228538
THBS4	0.0014987571420402857	0.0014987571420402857
NUF2	0.0014971065551573632	0.0014971065551573632
NUDT4	0.0014969287354069521	0.0014969287354069521
ITGB3BP	0.0014923120207081697	0.0014923120207081697
PKMYT1	0.0014914575050623965	0.0014914575050623965
ENOSF1	0.0014773062646836837	0.0014773062646836837
CCRL2	0.0014713877014552962	0.0014713877014552962
LTBP1	0.0014613649441978132	0.0014613649441978132
HSPA6	0.0014600755212344952	0.0014600755212344952
FMO3	0.001458813108834601	0.001458813108834601
MAP7	0.0014489759778134445	0.0014489759778134445
MSRB3	0.0014469398783690946	0.0014469398783690946
HAS3	0.0014466901526947482	0.0014466901526947482
C2CD2	0.001438203639504594	0.001438203639504594
PEAR1	0.0014340375728852063	0.0014340375728852063
C21orf58	0.0014296914183830683	0.0014296914183830683
ITGA1	0.0014289659518216889	0.0014289659518216889
UPK1B	0.0014231938919003345	0.0014231938919003345
DTL	0.0014175649977081505	0.0014175649977081505
SLC5A3	0.0014174453096499635	0.0014174453096499635
SLC7A5	0.001398649701412456	0.001398649701412456
H1-4	0.001388060828195955	0.001388060828195955
SLC25A10	0.0013859306314577074	0.0013859306314577074
CKS1B	0.0013828482853649538	0.0013828482853649538
IL33	0.0013815413920045558	0.0013815413920045558
CDH8	0.0013815328959938366	0.0013815328959938366
PTHLH	0.0013697652156378173	0.0013697652156378173
PSIP1	0.001366611532881353	0.001366611532881353
TOP2A	0.0013620855006141145	0.0013620855006141145
TMEM263	0.001359199419985789	0.001359199419985789
TRIP13	0.001355101260500198	0.001355101260500198
HTRA1	0.001354033136873763	0.001354033136873763
SHKBP1	0.0013434406212347349	0.0013434406212347349
DMC1	0.001340040414541759	0.001340040414541759
IFI27	0.001338913550054085	0.001338913550054085
CAMK4	0.0013357119719154549	0.0013357119719154549
CIT	0.0013330712666929745	0.0013330712666929745
AGFG2	0.0013303455377692962	0.0013303455377692962
NUDT16L1	0.0013302490310502678	0.0013302490310502678
ORC6	0.0013285742002328237	0.0013285742002328237
SYNPO2	0.0013278241615360667	0.0013278241615360667
PPP1R18	0.0013263230957649785	0.0013263230957649785
WFDC1	0.00131565889398006	0.00131565889398006
FLVCR1	0.0013153246598984682	0.0013153246598984682
C11orf68	0.0013134491317254122	0.0013134491317254122
GINS4	0.0013065215117158608	0.0013065215117158608
AKAP11	0.0013047032418175	0.0013047032418175
DTYMK	0.0013041663063166097	0.0013041663063166097
PARP1	0.001299240551847086	0.001299240551847086
CEP55	0.0012959631480769945	0.0012959631480769945
RAD51	0.0012949655985014926	0.0012949655985014926
SLIT2	0.0012911495035177866	0.0012911495035177866
ARL4D	0.0012896171196029448	0.0012896171196029448
TMEM200A	0.0012841956682763955	0.0012841956682763955
FLRT3	0.0012831419730236966	0.0012831419730236966
FOXF1	0.001277663314989315	0.001277663314989315
